timestamp,current_ma,brightness,avg_cpu_freq
1768409281,481,3515,537500
1768409282,520,3515,537500
1768409283,524,3515,537500
1768409284,523,3515,537500
1768409285,532,3515,537500
1768409286,484,3515,537500
1768409287,1197,3515,1662500
1768409288,856,3515,1277750
1768409289,622,3515,537500
1768409290,799,3515,2150000
1768409291,494,3515,537500
1768409292,623,3515,537500
1768409293,977,3515,1025000
1768409294,482,3515,537500
1768409295,716,3515,1025000
1768409296,494,3515,537500
1768409297,494,3515,537500
1768409298,460,3515,537500
1768409299,485,3515,537500
1768409300,499,3515,537500
1768409301,494,3515,537500
1768409302,539,3515,537500
1768409303,535,3515,537500
1768409304,618,3515,537500
1768409305,491,3515,537500
1768409306,520,3515,537500
1768409307,524,3515,837500
1768409308,502,3515,537500
1768409309,381,3515,537500
1768409310,530,3515,537500
1768409311,497,3515,537500
1768409312,484,3515,537500
1768409313,586,3515,537500
1768409314,575,3515,537500
1768409315,600,3515,560000
1768409316,596,3515,650000
1768409317,550,3515,831250
1768409318,497,3515,537500
1768409319,494,3515,537500
1768409320,508,3515,537500
1768409321,497,3515,537500
1768409322,659,3515,870375
1768409323,494,3515,537500
1768409324,581,3515,537500
1768409325,491,3515,537500
1768409326,782,3515,952250
1768409327,481,3515,537500
1768409328,565,3515,537500
1768409329,497,3515,537500
1768409330,581,3515,537500
1768409331,524,3515,537500
1768409332,717,3515,952500
1768409333,460,3515,537500
1768409334,521,3515,537500
1768409335,491,3515,537500
1768409336,494,3515,537500
1768409337,494,3515,537500
1768409338,527,3515,537500
1768409339,487,3515,537500
1768409340,499,3515,537500
1768409341,569,3515,537500
1768409342,496,3515,717500
1768409343,494,3515,650000
1768409345,521,3515,650000
1768409346,527,3515,537500
1768409347,524,3515,537500
1768409348,469,3515,537500
1768409349,502,3515,537500
1768409350,572,3515,537500
1768409351,348,3515,537500
1768409352,493,3515,537500
1768409353,458,3515,537500
1768409354,538,3515,537500
1768409355,607,3515,537500
1768409356,499,3515,537500
1768409357,482,3515,537500
1768409358,499,3515,537500
1768409359,488,3515,537500
1768409360,530,3515,537500
1768409361,514,3515,537500
1768409362,514,3515,537500
1768409363,509,3515,537500
1768409364,578,3515,537500
1768409365,494,3515,537500
1768409366,508,3515,537500
1768409367,514,3515,537500
1768409368,478,3515,537500
1768409369,497,3515,537500
1768409370,539,3515,537500
1768409371,478,3515,537500
1768409372,524,3515,537500
1768409373,520,3515,537500
1768409374,494,3515,537500
1768409375,587,3515,537500
1768409376,593,3515,537500
1768409377,484,3515,537500
1768409378,499,3515,537500
1768409379,548,3515,537500
1768409380,499,3515,537500
1768409381,484,3515,537500
1768409382,523,3515,537500
1768409383,485,3515,537500
1768409384,1607,3515,2068750
1768409385,580,3515,537500
1768409386,617,3515,537500
1768409387,556,3515,537500
1768409388,514,3515,537500
1768409389,509,3515,537500
1768409390,566,3515,537500
1768409391,624,3515,537500
1768409392,677,3515,2150000
1768409393,1513,3515,2150000
1768409394,958,3515,2150000
